Weather,Road_Type,Time_of_Day,Traffic_Density,Speed_Limit,Number_of_Vehicles,Driver_Alcohol,Accident_Severity,Road_Condition,Vehicle_Type,Driver_Age,Driver_Experience,Road_Light_Condition,Accident,Time_Numeric,Time_Risk,Weather_Risk,Weather_Road_Risk,Age_Group,Experience_Age_Ratio,Driver_Risk_Score,Traffic_Risk,Speed_Risk,Road_Type_Risk,Weather_Time_Interaction,Traffic_Road_Interaction
Rainy,City Road,Morning,1.0,100.0,5.0,0.0,Low,Wet,Car,51.0,48.0,Artificial Light,0.0,0,1,2,2,Senior,0.9411764705882353,1,5.0,2,2,2,2.0
Clear,Rural Road,Night,1.0012531328320802,120.0,3.0,0.0,Moderate,Wet,Truck,49.0,43.0,Artificial Light,0.0,3,4,1,1,Middle_Age,0.8775510204081632,1,3.0037593984962405,3,2,4,2.0025062656641603
Rainy,Highway,Evening,1.0,60.0,4.0,0.0,Low,Icy,Car,54.0,52.0,Artificial Light,0.0,2,3,2,1,Senior,0.9629629629629629,1,4.0,1,3,6,3.0
Clear,City Road,Afternoon,2.0,60.0,3.0,0.0,Low,Under Construction,Bus,34.0,31.0,Daylight,0.0,1,2,1,1,Adult,0.9117647058823529,1,6.0,1,2,2,4.0
Rainy,Highway,Morning,1.0,195.0,11.0,0.0,Low,Dry,Car,62.0,55.0,Artificial Light,1.0,0,1,2,1,Senior,0.8870967741935484,1,11.0,3,3,2,3.0
Clear,Rural Road,Night,0.0,120.0,3.0,0.0,Moderate,Dry,Truck,49.0,43.0,Artificial Light,0.0,3,4,1,1,Middle_Age,0.8775510204081632,1,0.0,3,2,4,0.0
Foggy,Highway,Afternoon,0.0,60.0,4.0,0.0,Low,Dry,Truck,27.0,26.0,Daylight,1.0,1,2,3,3,Adult,0.9629629629629629,1,0.0,1,3,6,0.0
Rainy,City Road,Afternoon,0.0,60.0,4.0,0.0,Low,Dry,Car,29.0,22.0,Artificial Light,1.0,1,2,2,1,Adult,0.7586206896551724,1,0.0,1,2,4,0.0
Stormy,Highway,Morning,1.0,60.0,2.0,0.0,High,Icy,Car,38.0,29.0,Artificial Light,0.0,0,1,4,3,Middle_Age,0.7631578947368421,1,2.0,1,3,4,3.0
Rainy,City Road,Afternoon,2.0,30.0,2.0,0.0,Low,Dry,Truck,50.0,48.0,Artificial Light,0.0,1,2,2,1,Middle_Age,0.96,1,4.0,1,2,4,4.0
Clear,Mountain Road,Night,2.0,100.0,5.0,0.0,Low,Dry,Motorcycle,47.0,38.0,Artificial Light,1.0,3,4,1,1,Middle_Age,0.8085106382978723,1,10.0,2,4,4,8.0
Clear,Rural Road,Afternoon,0.0,60.0,4.0,0.0,Low,Dry,Car,25.0,16.0,Artificial Light,0.0,1,2,1,1,Young,0.64,1,0.0,1,2,2,0.0
Rainy,City Road,Night,0.0,30.0,1.0,1.0,Moderate,Dry,Motorcycle,67.0,63.0,Artificial Light,1.0,3,4,2,1,Elderly,0.9402985074626866,3,0.0,1,2,8,0.0
Clear,Rural Road,Morning,0.0,60.0,1.0,0.0,Low,Dry,Car,61.0,57.0,Artificial Light,0.0,0,1,1,1,Senior,0.9344262295081968,1,0.0,1,2,1,0.0
Clear,Rural Road,Night,0.0,60.0,5.0,0.0,Low,Wet,Truck,46.0,38.9812030075188,Artificial Light,0.0,3,4,1,1,Middle_Age,0.8474174566851913,1,0.0,1,2,4,0.0
Rainy,City Road,Afternoon,0.0,60.0,5.0,0.0,Moderate,Wet,Car,48.0,41.0,Daylight,0.0,1,2,2,2,Middle_Age,0.8541666666666666,1,0.0,1,2,4,0.0
Snowy,Highway,Afternoon,1.0,100.0,3.0,0.0,Low,Under Construction,Motorcycle,53.0,38.9812030075188,Artificial Light,0.0,1,2,5,1,Senior,0.7354943963682793,1,3.0,2,3,10,3.0
Foggy,City Road,Night,1.0,60.0,3.0,0.0,Moderate,Wet,Motorcycle,35.0,32.0,No Light,0.0,3,4,3,3,Adult,0.9142857142857143,1,3.0,1,2,12,2.0
Clear,City Road,Afternoon,1.0,50.0,1.0,0.0,Moderate,Dry,Car,59.0,53.0,Daylight,1.0,1,2,1,1,Senior,0.8983050847457628,1,1.0,1,2,2,2.0
Clear,City Road,Morning,2.0,60.0,2.0,0.0,Low,Dry,Car,27.0,23.0,Daylight,0.0,0,1,1,1,Adult,0.8518518518518519,1,4.0,1,2,1,4.0
Foggy,Rural Road,Evening,0.0,100.0,5.0,0.0,Moderate,Icy,Car,32.0,24.0,Artificial Light,0.0,2,3,3,3,Adult,0.75,1,0.0,2,2,9,0.0
Clear,Highway,Morning,0.0,30.0,1.0,0.0,Low,Dry,Car,53.0,47.0,Daylight,0.0,0,1,1,1,Senior,0.8867924528301887,1,0.0,1,3,1,0.0
Rainy,Rural Road,Afternoon,0.0,30.0,4.0,1.0,Low,Under Construction,Car,69.0,64.0,Daylight,0.0,1,2,2,1,Elderly,0.927536231884058,3,0.0,1,2,4,0.0
Rainy,Highway,Morning,1.0,50.0,3.0,0.0,Low,Dry,Car,68.0,60.0,Daylight,1.0,0,1,2,1,Elderly,0.8823529411764706,3,3.0,1,3,2,3.0
Rainy,Highway,Afternoon,0.0,100.0,3.0,0.0,High,Wet,Car,28.0,25.0,Artificial Light,0.0,1,2,2,2,Adult,0.8928571428571429,1,0.0,2,3,4,0.0
Foggy,Rural Road,Morning,1.0,60.0,2.0,1.0,Moderate,Under Construction,Car,40.0,38.0,Artificial Light,1.0,0,1,3,3,Middle_Age,0.95,1,2.0,1,2,3,2.0
Clear,City Road,Evening,0.0,100.0,2.0,0.0,Low,Dry,Car,30.0,23.0,Artificial Light,0.0,2,3,1,1,Adult,0.7666666666666667,1,0.0,2,2,3,0.0
Stormy,Highway,Afternoon,2.0,80.0,3.0,0.0,Moderate,Under Construction,Truck,60.0,57.0,Daylight,1.0,1,2,4,3,Senior,0.95,1,6.0,2,3,8,6.0
Clear,City Road,Afternoon,1.0,80.0,3.0,0.0,Moderate,Under Construction,Car,66.0,65.0,Artificial Light,0.0,1,2,1,1,Elderly,0.9848484848484849,3,3.0,2,2,2,2.0
Rainy,Highway,Morning,1.0,80.0,1.0,0.0,Low,Dry,Car,43.2593984962406,24.0,No Light,0.0,0,1,2,1,Middle_Age,0.5547927348570436,1,1.0,2,3,2,3.0
Clear,Highway,Afternoon,1.0,30.0,5.0,0.0,Moderate,Dry,Car,63.0,55.0,Artificial Light,1.0,1,2,1,1,Senior,0.873015873015873,1,5.0,1,3,2,3.0
Foggy,Highway,Night,0.0,100.0,1.0,0.0,Low,Under Construction,Car,59.0,57.0,Artificial Light,0.0,3,4,3,3,Senior,0.9661016949152542,1,0.0,2,3,12,0.0
Clear,Highway,Morning,1.0,60.0,3.0,0.0,Low,Icy,Car,65.0,57.0,Artificial Light,1.0,0,1,1,1,Senior,0.8769230769230769,1,3.0,1,3,1,3.0
Rainy,Mountain Road,Afternoon,1.0,60.0,1.0,0.0,Low,Dry,Car,18.0,13.0,No Light,0.0,1,2,2,1,Young,0.7222222222222222,3,1.0,1,4,4,4.0
Stormy,Highway,Morning,1.0,60.0,5.0,0.0,Moderate,Dry,Car,33.0,31.0,Daylight,0.0,0,1,4,3,Adult,0.9393939393939394,1,5.0,1,3,4,3.0
Clear,City Road,Evening,2.0,50.0,5.0,1.0,Low,Dry,Car,55.0,52.0,Artificial Light,0.0,2,3,1,1,Senior,0.9454545454545454,1,10.0,1,2,3,4.0
Rainy,Highway,Evening,0.0,120.0,5.0,0.0,High,Dry,Car,38.0,38.9812030075188,Artificial Light,0.0,2,3,2,1,Middle_Age,1.0258211317768104,1,0.0,3,3,6,0.0
Clear,Highway,Morning,2.0,100.0,5.0,0.0,Low,Under Construction,Car,46.0,38.9812030075188,Daylight,1.0,0,1,1,1,Middle_Age,0.8474174566851913,1,10.0,2,3,1,6.0
Clear,City Road,Night,0.0,60.0,4.0,0.0,High,Icy,Car,33.0,25.0,Artificial Light,1.0,3,4,1,1,Adult,0.7575757575757576,1,0.0,1,2,4,0.0
Rainy,Highway,Night,1.0,50.0,5.0,0.0,Low,Under Construction,Truck,45.0,36.0,Daylight,1.0,3,4,2,1,Middle_Age,0.8,1,5.0,1,3,8,3.0
Clear,Highway,Morning,0.0,60.0,5.0,0.0,Low,Under Construction,Car,40.0,37.0,Artificial Light,0.0,0,1,1,1,Middle_Age,0.925,1,0.0,1,3,1,0.0
Foggy,Highway,Night,0.0,60.0,5.0,0.0,Low,Dry,Car,69.0,63.0,Daylight,0.0,3,4,3,3,Elderly,0.9130434782608695,3,0.0,1,3,12,0.0
Snowy,Highway,Evening,2.0,50.0,5.0,1.0,Moderate,Dry,Car,33.0,32.0,Artificial Light,0.0,2,3,5,1,Adult,0.9696969696969697,1,10.0,1,3,15,6.0
Foggy,Highway,Evening,0.0,60.0,1.0,1.0,Low,Wet,Car,22.0,21.0,Daylight,0.0,2,3,3,3,Young,0.9545454545454546,3,0.0,1,3,9,0.0
Rainy,Mountain Road,Afternoon,0.0,60.0,5.0,1.0,High,Dry,Bus,26.0,25.0,Daylight,0.0,1,2,2,1,Adult,0.9615384615384616,1,0.0,1,4,4,0.0
Clear,Highway,Night,1.0,30.0,1.0,0.0,Low,Wet,Car,59.0,54.0,Artificial Light,0.0,3,4,1,1,Senior,0.9152542372881356,1,1.0,1,3,4,3.0
Clear,Highway,Night,1.0,30.0,1.0,1.0,Moderate,Dry,Car,58.0,38.9812030075188,Daylight,1.0,3,4,1,1,Senior,0.6720897070261862,1,1.0,1,3,4,3.0
Clear,City Road,Afternoon,1.0,60.0,5.0,0.0,Low,Dry,Truck,23.0,14.0,Daylight,0.0,1,2,1,1,Young,0.6086956521739131,3,5.0,1,2,2,2.0
Clear,Highway,Evening,0.0,50.0,2.0,1.0,Low,Dry,Truck,43.2593984962406,38.9812030075188,Artificial Light,0.0,2,3,1,1,Middle_Age,0.9011036760232903,1,0.0,1,3,3,0.0
Rainy,City Road,Morning,0.0,60.0,4.0,1.0,Low,Dry,Car,43.2593984962406,48.0,Artificial Light,0.0,0,1,2,1,Middle_Age,1.1095854697140872,1,0.0,1,2,2,0.0
Clear,Highway,Evening,0.0,80.0,5.0,0.0,Moderate,Wet,Car,57.0,55.0,Daylight,1.0,2,3,1,1,Senior,0.9649122807017544,1,0.0,2,3,3,0.0
Clear,Highway,Morning,0.0,60.0,4.0,0.0,Low,Dry,Car,26.0,25.0,Artificial Light,0.0,0,1,1,1,Adult,0.9615384615384616,1,0.0,1,3,1,0.0
Clear,Highway,Afternoon,2.0,60.0,5.0,0.0,Low,Dry,Truck,34.0,25.0,Artificial Light,1.0,1,2,1,1,Adult,0.7352941176470589,1,10.0,1,3,2,6.0
Snowy,City Road,Morning,2.0,80.0,1.0,0.0,Low,Wet,Truck,27.0,19.0,Artificial Light,0.0,0,1,5,2,Adult,0.7037037037037037,1,2.0,2,2,5,4.0
Rainy,City Road,Afternoon,2.0,100.0,3.0,0.0,Low,Dry,Car,57.0,49.0,Artificial Light,0.0,1,2,2,1,Senior,0.8596491228070176,1,6.0,2,2,4,4.0
Foggy,Highway,Afternoon,1.0,50.0,5.0,0.0,Low,Icy,Car,43.0,39.0,Artificial Light,1.0,1,2,3,3,Middle_Age,0.9069767441860465,1,5.0,1,3,6,3.0
Rainy,Highway,Afternoon,0.0,100.0,4.0,1.0,Moderate,Dry,Car,23.0,16.0,Artificial Light,0.0,1,2,2,1,Young,0.6956521739130435,3,0.0,2,3,4,0.0
Foggy,Highway,Evening,2.0,100.0,5.0,1.0,Low,Dry,Car,64.0,55.0,Daylight,1.0,2,3,3,3,Senior,0.859375,1,10.0,2,3,9,6.0
Clear,Highway,Morning,0.0,60.0,5.0,0.0,Moderate,Wet,Car,45.0,41.0,Artificial Light,0.0,0,1,1,1,Middle_Age,0.9111111111111111,1,0.0,1,3,1,0.0
Rainy,Highway,Evening,1.0,50.0,2.0,0.0,Moderate,Under Construction,Car,67.0,58.0,No Light,0.0,2,3,2,1,Elderly,0.8656716417910447,3,2.0,1,3,6,3.0
Rainy,City Road,Afternoon,1.0,200.0,12.0,0.0,Moderate,Icy,Car,54.0,53.0,Artificial Light,0.0,1,2,2,1,Senior,0.9814814814814815,1,12.0,3,2,4,2.0
